Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Volatility Monitoring,"Measurement of realized and ex-ante volatility against targets and budgets; supports risk parity, TE management, and dynamic sizing.",Disclosure Catalogue,List of applicable regulatory forms and fields.,Regulation Reference,UCITS/KIID/PRIIPs/SFDR article references.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Volatility Monitoring,"Measurement of realized and ex-ante volatility against targets and budgets; supports risk parity, TE management, and dynamic sizing.",Disclosure Catalogue,List of applicable regulatory forms and fields.,Methodology Note,Calculation method per regulation.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Stress & Scenario Monitoring,"Periodic evaluation of portfolio resilience under historical and hypothetical scenarios across rates, spreads, FX, equity factors, and commodities; tracks P&L impact and risk limits.",Disclosure Data Block,Data required for specific disclosure.,Summary Risk Indicator (SRI),Risk class per regulatory method.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Stress & Scenario Monitoring,"Periodic evaluation of portfolio resilience under historical and hypothetical scenarios across rates, spreads, FX, equity factors, and commodities; tracks P&L impact and risk limits.",Disclosure Data Block,Data required for specific disclosure.,Costs & Charges,"OCF/TER breakdown (ongoing, transaction, performance fees)."
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Stress & Scenario Monitoring,"Periodic evaluation of portfolio resilience under historical and hypothetical scenarios across rates, spreads, FX, equity factors, and commodities; tracks P&L impact and risk limits.",Commentary Note,Version-controlled narrative text.,Theme & Drivers,Key drivers linked to attribution data.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Stress & Scenario Monitoring,"Periodic evaluation of portfolio resilience under historical and hypothetical scenarios across rates, spreads, FX, equity factors, and commodities; tracks P&L impact and risk limits.",Commentary Note,Version-controlled narrative text.,Outlook Statement,Forward-looking view consistent with policy.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Risk Mitigation Action Identification,"Determination of hedging, rebalancing, or de-risking actions to address breaches or emerging risks while preserving mandate objectives and liquidity.",Commentary Note,Version-controlled narrative text.,Compliance Flags,"Language checks (no promises, balanced risk)."
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Risk Mitigation Action Identification,"Determination of hedging, rebalancing, or de-risking actions to address breaches or emerging risks while preserving mandate objectives and liquidity.",Presentation Deck,Structured slides and exhibits.,Deck Version,Version identifier and date.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Risk Mitigation Action Identification,"Determination of hedging, rebalancing, or de-risking actions to address breaches or emerging risks while preserving mandate objectives and liquidity.",Presentation Deck,Structured slides and exhibits.,Exhibit Inventory,Charts/tables included with sources.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Risk Mitigation Action Identification,"Determination of hedging, rebalancing, or de-risking actions to address breaches or emerging risks while preserving mandate objectives and liquidity.",Presentation Deck,Structured slides and exhibits.,Customization Tags,Client-specific tailoring markers.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Rebalancing Trigger Identification,"Identification of rebalancing needs due to drift from target weights, factor exposures, liquidity changes, or policy schedules; proposes actions and timing.",Distributor Package,Aggregated materials for distribution.,Channel,Platform/distributor name/category.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Trade Intent Generation,"Translates model portfolio decisions and PM views into executable trade intentions at instrument level, with rationale and sizing aligned to mandate and risk budgets.",Distributor Package,Aggregated materials for distribution.,Entitlement,Allowed data level (public/institutional).
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Trade Intent Generation,"Translates model portfolio decisions and PM views into executable trade intentions at instrument level, with rationale and sizing aligned to mandate and risk budgets.",Distributor Package,Aggregated materials for distribution.,Delivery Schedule,Cadence and cut-off times.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Trade Intent Generation,"Translates model portfolio decisions and PM views into executable trade intentions at instrument level, with rationale and sizing aligned to mandate and risk budgets.",Query Ticket,Record of client inquiry and resolution.,Query Category,"Performance, Risk, Holdings, Fees, ESG/Disclosure."
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Trade Intent Generation,"Translates model portfolio decisions and PM views into executable trade intentions at instrument level, with rationale and sizing aligned to mandate and risk budgets.",Query Ticket,Record of client inquiry and resolution.,SLA,Response time target.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Trade Intent Generation,"Translates model portfolio decisions and PM views into executable trade intentions at instrument level, with rationale and sizing aligned to mandate and risk budgets.",Response Artifact,Approved response and supporting exhibits.,Response Summary,Final answer provided to client.
Fund Performance,Client Reporting and Communication,"End-to-end governed workflow for producing performance reports, risk metrics, peer comparisons, factsheets, disclosures, commentaries, presentations, distributor communications, and query handling. Ensures accuracy, consistency, timeliness, and compliance across channels and audiences.",Trade Intent Generation,"Translates model portfolio decisions and PM views into executable trade intentions at instrument level, with rationale and sizing aligned to mandate and risk budgets.",Response Artifact,Approved response and supporting exhibits.,Evidence Links,"References (reports, data sources, calculations)."
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Order Creation & Validation,"Converts trade intent into formal OMS orders; validates instrument data, account, settlement, and static reference data before routing.",Objective Statement,Authorized text describing the investment objective.,Objective Type,"Capital appreciation, income, total return, absolute return."
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Order Creation & Validation,"Converts trade intent into formal OMS orders; validates instrument data, account, settlement, and static reference data before routing.",Objective Statement,Authorized text describing the investment objective.,Return Orientation,Relative (benchmark-aware) vs. absolute.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Order Creation & Validation,"Converts trade intent into formal OMS orders; validates instrument data, account, settlement, and static reference data before routing.",Target Set,Quantified targets supporting the objective.,Target Return,Annualized expected return (gross/net).
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Order Creation & Validation,"Converts trade intent into formal OMS orders; validates instrument data, account, settlement, and static reference data before routing.",Target Set,Quantified targets supporting the objective.,Risk Target,Volatility/Tracking Error band.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Order Creation & Validation,"Converts trade intent into formal OMS orders; validates instrument data, account, settlement, and static reference data before routing.",Target Set,Quantified targets supporting the objective.,Drawdown Limit,Maximum permissible peak-to-trough decline.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Pre-Trade Compliance Validation,"Performs rule-based checks against mandate, regulatory, product, and risk constraints prior to routing, preventing breaches and capturing exceptions for governance.",Benchmark Register,Master list of approved benchmarks per portfolio/share class.,Benchmark Name,"Index label (e.g., MSCI World, Bloomberg Agg)."
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Pre-Trade Compliance Validation,"Performs rule-based checks against mandate, regulatory, product, and risk constraints prior to routing, preventing breaches and capturing exceptions for governance.",Benchmark Register,Master list of approved benchmarks per portfolio/share class.,Index Provider,"MSCI, S&P Dow Jones, FTSE Russell, Bloomberg."
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Pre-Trade Compliance Validation,"Performs rule-based checks against mandate, regulatory, product, and risk constraints prior to routing, preventing breaches and capturing exceptions for governance.",Fit Metrics,Evidence of representativeness.,Coverage Match (%),Overlap with portfolio universe/constituents.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Pre-Trade Compliance Validation,"Performs rule-based checks against mandate, regulatory, product, and risk constraints prior to routing, preventing breaches and capturing exceptions for governance.",Fit Metrics,Evidence of representativeness.,Risk Alignment,"Volatility, duration, credit quality alignment."
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Pre-Trade Compliance Validation,"Performs rule-based checks against mandate, regulatory, product, and risk constraints prior to routing, preventing breaches and capturing exceptions for governance.",Approval Record,Governance trail of benchmark decisions.,Approval Authority,IC/Board/Compliance approver.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Pre-Trade Compliance Validation,"Performs rule-based checks against mandate, regulatory, product, and risk constraints prior to routing, preventing breaches and capturing exceptions for governance.",Approval Record,Governance trail of benchmark decisions.,Effective Date,Date the benchmark change becomes active.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Broker Selection & Routing,"Selects broker/venue and routing strategy to achieve best execution considering price, liquidity, market impact, latency, and explicit costs.",Methodology Catalogue,Approved methods by asset class.,Equity Method,"Allocation, selection, interaction."
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Broker Selection & Routing,"Selects broker/venue and routing strategy to achieve best execution considering price, liquidity, market impact, latency, and explicit costs.",Methodology Catalogue,Approved methods by asset class.,Fixed Income Method,"Carry, duration, curve, spread, selection."
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Broker Selection & Routing,"Selects broker/venue and routing strategy to achieve best execution considering price, liquidity, market impact, latency, and explicit costs.",Calculation Policy,Standard rules for computation.,Return Basis,Gross vs. net of fees.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Broker Selection & Routing,"Selects broker/venue and routing strategy to achieve best execution considering price, liquidity, market impact, latency, and explicit costs.",Calculation Policy,Standard rules for computation.,Linking Method,Daily geometric vs. arithmetic (where applicable).
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Trade Execution Monitoring,"Real-time oversight of fills, slippage, partial executions, and market conditions; adjusts routing to optimize outcomes and control risk.",Control Set,Validation of attribution integrity.,Reconciliation Check,Sum of effects equals excess return.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Trade Execution Monitoring,"Real-time oversight of fills, slippage, partial executions, and market conditions; adjusts routing to optimize outcomes and control risk.",Control Set,Validation of attribution integrity.,Tolerance Thresholds,Acceptable variance bands vs. totals/benchmark.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Trade Execution Monitoring,"Real-time oversight of fills, slippage, partial executions, and market conditions; adjusts routing to optimize outcomes and control risk.",Dimension Dictionary,Standardized dimension names/codes.,Dimension Name,"Asset class, sector (GICS), country, currency, factor."
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Trade Execution Monitoring,"Real-time oversight of fills, slippage, partial executions, and market conditions; adjusts routing to optimize outcomes and control risk.",Dimension Dictionary,Standardized dimension names/codes.,Dimension Code,Canonical code per taxonomy.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Trade Execution Monitoring,"Real-time oversight of fills, slippage, partial executions, and market conditions; adjusts routing to optimize outcomes and control risk.",Hierarchy Map,Parent–child relationships for aggregation.,Aggregation Rules,How contributions roll up across levels.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Trade Allocation to Funds,"Distributes aggregated executions across participating funds/accounts based on pro-rata, price, or policy rules, ensuring fairness and auditability.",Data Alignment Rules,Mapping positions/exposures to dimensions.,Mapping Source,Vendor or internal mapping provenance.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Trade Allocation to Funds,"Distributes aggregated executions across participating funds/accounts based on pro-rata, price, or policy rules, ensuring fairness and auditability.",Review Calendar,Scheduled reviews and responsible roles.,Review Frequency,Monthly/Quarterly/Annual.
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Trade Allocation to Funds,"Distributes aggregated executions across participating funds/accounts based on pro-rata, price, or policy rules, ensuring fairness and auditability.",Review Calendar,Scheduled reviews and responsible roles.,Reviewer Roles,"PM, Performance Analyst, Risk, Compliance."
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Trade Allocation to Funds,"Distributes aggregated executions across participating funds/accounts based on pro-rata, price, or policy rules, ensuring fairness and auditability.",Exception Log,Recorded anomalies and remediation.,Exception Type,"Data gap, mapping error, methodology drift, residual."
Performance Attribution,Investment Objectives and Attribution Framework,"Governed umbrella that defines investment objectives, benchmark standards, approved attribution methodologies, standardized dimensions, and review cadence. Ensures consistent, transparent, and decision-useful performance measurement.",Post-Trade Compliance Validation,Re-validates positions and exposures after booking trades to detect breaches due to market movement or allocation effects; triggers remediation.,Exception Log,Recorded anomalies and remediation.,Remediation Action,"Re-map, recalculation, method update, disclose."
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Post-Trade Compliance Validation,Re-validates positions and exposures after booking trades to detect breaches due to market movement or allocation effects; triggers remediation.,Portfolio Master,Canonical portfolio/mandate metadata.,Portfolio ID,Unique fund/share class/account identifier.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Post-Trade Compliance Validation,Re-validates positions and exposures after booking trades to detect breaches due to market movement or allocation effects; triggers remediation.,Holdings Ledger,Positions at valuation cut-off.,Security ID,ISIN/CUSIP/SEDOL/Ticker.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Trade Confirmation Processing,Matches broker confirmations with internal trade records to ensure economic terms agree; resolves mismatches via break management.,Holdings Ledger,Positions at valuation cut-off.,Quantity / Cost Basis,Units and book cost (FIFO/avg).
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Trade Confirmation Processing,Matches broker confirmations with internal trade records to ensure economic terms agree; resolves mismatches via break management.,Cash & Activity Feed,Cash balances and transactions.,Cash Balance,Opening/closing cash by currency.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Trade Confirmation Processing,Matches broker confirmations with internal trade records to ensure economic terms agree; resolves mismatches via break management.,Cash & Activity Feed,Cash balances and transactions.,Trade Activity,Buys/sells with timestamps and prices.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Trade Confirmation Processing,Matches broker confirmations with internal trade records to ensure economic terms agree; resolves mismatches via break management.,Benchmark Constituents,Index members with effective weights.,Constituent ID,Security identifier in the index.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Benchmark Constituents,Index members with effective weights.,Benchmark Weight,Float-adjusted weight on rebalance date.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Benchmark Register,Approved benchmark per portfolio/class.,Effective Date,Date benchmark applies to portfolio.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Price Feed,Evaluated/closing prices per instrument.,Price Type,Close/Evaluated/Bid-Ask Mid/Model.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Settlement Instruction Processing,"Generates and transmits settlement details (SSIs) to custodians/CPs; monitors settlement status, manages fails and penalties to protect Fund Performance.",Price Feed,Evaluated/closing prices per instrument.,Price Timestamp,Exchange-close (local) timestamp.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,FX Rate Set,Base currency translation rates.,FX Rate,Spot/WM Fix by currency pair.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,Reference Master,Static attributes/taxonomies.,Sector/Industry Code,GICS/ICB classification code.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,Reference Master,Static attributes/taxonomies.,Credit Rating,S&P/Moody’s/Fitch long-term rating.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,Reconciliation Package,FO–BO–Custody tie-out results.,Break Type,Position/Price/FX/Cash/Corporate Action.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Transaction Cost Analysis,Measures explicit and implicit trading costs versus benchmarks to evidence best execution and inform routing and broker selection; feeds performance attribution.,Reconciliation Package,FO–BO–Custody tie-out results.,Break Amount,Magnitude and currency of discrepancy.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Daily Portfolio Valuation Review,"Verification of daily portfolio valuations across instruments, ensuring price sources, fair value hierarchy, and corporate actions are correctly applied for accurate NAV and P&L.",Validation Control,Defined checks and thresholds.,Completeness Check,"Required fields present (ID, quantity, price)."
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Daily Portfolio Valuation Review,"Verification of daily portfolio valuations across instruments, ensuring price sources, fair value hierarchy, and corporate actions are correctly applied for accurate NAV and P&L.",Validation Control,Defined checks and thresholds.,Tolerance Threshold,Allowed variance vs. prior close/benchmark.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Daily Portfolio Valuation Review,"Verification of daily portfolio valuations across instruments, ensuring price sources, fair value hierarchy, and corporate actions are correctly applied for accurate NAV and P&L.",Standardization Map,Rules for harmonizing IDs/taxonomies.,Identifier Canonicalization,Vendor IDs ? canonical IDs.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Daily Portfolio Valuation Review,"Verification of daily portfolio valuations across instruments, ensuring price sources, fair value hierarchy, and corporate actions are correctly applied for accurate NAV and P&L.",Derived Metrics,Computed analytics fields.,Market Value (Base),Price × quantity translated to base currency.
Performance Attribution,Data Aggregation and Quality Assurance,"Governed framework to collect, standardize, validate, enrich, and reconcile portfolio, benchmark, and market/reference data for attribution.",Daily Portfolio Valuation Review,"Verification of daily portfolio valuations across instruments, ensuring price sources, fair value hierarchy, and corporate actions are correctly applied for accurate NAV and P&L.",Derived Metrics,Computed analytics fields.,Duration/Yield/Beta,Instrument/portfolio-level metrics.
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Daily Performance Monitoring,"Measurement of daily returns versus benchmarks, attribution to allocation and selection effects, and tracking error diagnostics to ensure performance fidelity.",Config Package,Version-controlled configuration snapshot.,Config Version,Unique version and effective date.
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Daily Performance Monitoring,"Measurement of daily returns versus benchmarks, attribution to allocation and selection effects, and tracking error diagnostics to ensure performance fidelity.",Config Package,Version-controlled configuration snapshot.,Universe Definition,Investible set and filters applied.
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Daily Performance Monitoring,"Measurement of daily returns versus benchmarks, attribution to allocation and selection effects, and tracking error diagnostics to ensure performance fidelity.",Config Package,Version-controlled configuration snapshot.,Benchmark Mapping,Portfolio ? benchmark dimension mapping.
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Daily Performance Monitoring,"Measurement of daily returns versus benchmarks, attribution to allocation and selection effects, and tracking error diagnostics to ensure performance fidelity.",Hierarchy Dictionary,Master dimension trees and codes.,Parent–Child Map,Relationship table for roll-ups.
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Exposure Monitoring,"Ongoing measurement of exposures across asset classes, sectors, geographies, currencies, duration, and counterparties to maintain diversification and comply with limits.",Hierarchy Dictionary,Master dimension trees and codes.,Effective Dating,Valid-from/valid-to per node/version.
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Exposure Monitoring,"Ongoing measurement of exposures across asset classes, sectors, geographies, currencies, duration, and counterparties to maintain diversification and comply with limits.",Mapping Rules,Issuer/security assignment to hierarchy.,Mapping Source,Vendor/internal mapping provenance.
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Exposure Monitoring,"Ongoing measurement of exposures across asset classes, sectors, geographies, currencies, duration, and counterparties to maintain diversification and comply with limits.",Special Treatment Catalogue,Instrument-type specific handling rules.,Instrument Type,"Convertible, OTC swap, future, option, private."
Performance Attribution,Attribution Modeling and Configuration,"Setup and governance of attribution engines: methods, calculation bases, dimensions, hierarchies, and benchmark mappings.",Exposure Monitoring,"Ongoing measurement of exposures across asset classes, sectors, geographies, currencies, duration, and counterparties to maintain diversification and comply with limits.",Special Treatment Catalogue,Instrument-type specific handling rules.,Exposure Logic,Underlying/Delta/Notional representation.
